a,e,i,c,Class
43.72,0.05,7.75,22.23,Classicals
43.86,0.1,31.67,20.64,Classicals
43.89,0.13,7.35,31.62,Classicals
42.18,0.05,8.03,31.5,Classicals
42.7,0.08,13.19,29.57,Classicals
41.31,0.03,12.73,14.2,Classicals
41.77,0.02,9.87,20.68,Classicals
45.98,0.18,28.68,9.38,Classicals
46.91,0.13,8.75,34.4,Classicals
46.87,0.01,23.29,16.71,Classicals
41.44,0.21,10.03,5.16,Classicals
46.38,0.14,9.82,36.41,Classicals
45.3,0.23,15.35,3.16,Classicals
38.98,0.15,12.75,9.34,Classicals
45.13,0.18,13.69,19.47,Classicals
45.26,0.24,22.18,2.65,Classicals
43.0,0.08,7.17,27.53,Classicals
44.16,0.11,11.59,36.53,Classicals
47.05,0.15,19.27,21.27,Classicals
44.25,0.1,9.48,21.43,Classicals
41.26,0.08,19.13,26.81,Classicals
44.16,0.02,5.63,24.6,Classicals
45.19,0.12,10.22,4.0,Classicals
46.45,0.12,10.64,26.5,Classicals
43.16,0.12,17.14,20.1,Classicals
47.41,0.09,11.92,35.09,Classicals
39.76,0.07,8.73,8.7,Classicals
46.27,0.12,30.57,-1.25,Classicals
44.4,0.03,5.14,24.6,Classicals
42.08,0.15,6.91,29.5,Classicals
43.23,0.01,5.77,18.0,Classicals
47.26,0.17,6.97,31.3,Classicals
38.77,0.07,5.41,15.3,Classicals
43.77,0.08,10.36,32.36,Classicals
47.25,0.21,20.74,25.5,Classicals
38.92,0.11,32.93,6.0,Classicals
46.01,0.15,6.75,8.5,Classicals
47.46,0.03,24.61,44.6,Classicals
41.42,0.09,29.25,20.7,Classicals
40.67,0.01,19.64,7.8,Classicals
46.2,0.19,11.71,0.4,Classicals
46.3,0.17,8.48,13.1,Classicals
38.28,0.02,19.84,14.7,Classicals
38.64,0.04,29.53,7.8,Classicals
43.53,0.13,10.69,31.4,Classicals
46.34,0.2,7.95,6.4,Classicals
42.96,0.01,12.09,32.8,Classicals
46.69,0.2,5.52,11.7,Classicals
30.04,0.03,8.16,6.16,Resonant
30.03,0.06,28.12,15.77,Resonant
36.46,0.13,9.58,16.4,Resonant
36.46,0.24,5.91,31.31,Resonant
36.58,0.21,16.26,11.65,Resonant
36.52,0.16,10.42,11.09,Resonant
36.4,0.15,6.85,16.4,Resonant
36.36,0.17,20.66,7.0,Resonant
39.52,0.19,5.16,39.84,Resonant
39.45,0.15,19.56,16.4,Resonant
39.53,0.17,5.31,37.28,Resonant
39.38,0.33,5.69,32.58,Resonant
39.41,0.12,14.66,36.47,Resonant
39.36,0.23,16.57,6.35,Resonant
39.36,0.23,5.94,7.81,Resonant
39.26,0.13,10.61,1.32,Resonant
39.36,0.2,6.74,18.76,Resonant
39.23,0.19,6.58,11.54,Resonant
39.25,0.27,5.72,17.63,Resonant
39.43,0.23,13.93,17.08,Resonant
39.5,0.17,14.6,3.16,Resonant
39.41,0.23,8.41,34.21,Resonant
39.4,0.24,17.14,40.3,Resonant
39.18,0.16,17.34,2.17,Resonant
39.35,0.28,10.81,25.16,Resonant
39.23,0.3,12.91,6.0,Resonant
39.31,0.17,13.7,6.0,Resonant
39.57,0.28,17.52,14.03,Resonant
39.38,0.11,22.35,3.82,Resonant
39.35,0.19,6.49,24.6,Resonant
39.43,0.29,5.98,10.4,Resonant
39.29,0.29,16.33,39.36,Resonant
39.42,0.26,14.01,26.03,Resonant
39.43,0.17,8.35,12.0,Resonant
39.36,0.09,27.93,6.33,Resonant
39.38,0.32,29.28,3.07,Resonant
39.34,0.33,18.25,31.37,Resonant
39.41,0.19,34.39,9.8,Resonant
39.36,0.18,15.08,35.1,Resonant
39.65,0.28,9.5,9.4,Resonant
39.44,0.23,13.47,20.0,Resonant
39.4,0.19,24.9,19.9,Resonant
39.37,0.09,13.02,23.9,Resonant
39.37,0.26,19.82,40.3,Resonant
39.45,0.16,10.09,16.06,Resonant
39.49,0.23,10.13,13.0,Resonant
39.64,0.34,15.97,12.2,Resonant
42.24,0.23,9.76,14.4,Resonant
42.33,0.14,11.08,14.1,Resonant
42.27,0.24,7.07,38.16,Resonant
42.31,0.11,6.89,36.22,Resonant
42.18,0.23,17.92,37.17,Resonant
43.66,0.14,25.48,18.33,Resonant
43.74,0.11,5.05,32.37,Resonant
43.75,0.22,19.51,28.97,Resonant
43.59,0.1,6.11,18.98,Resonant
43.66,0.25,27.68,11.5,Resonant
43.65,0.12,9.73,6.71,Resonant
43.73,0.19,13.34,33.59,Resonant
44.48,0.14,6.59,34.38,Resonant
44.48,0.1,18.3,22.3,Resonant
47.89,0.36,11.8,28.36,Resonant
47.66,0.37,13.5,25.15,Resonant
47.55,0.29,12.69,17.31,Resonant
47.42,0.28,23.46,11.16,Resonant
47.72,0.28,9.76,-0.62,Resonant
47.78,0.22,11.67,15.6,Resonant
47.8,0.2,10.01,7.89,Resonant
47.78,0.37,13.59,28.62,Resonant
47.74,0.34,6.66,21.2,Resonant
47.76,0.28,8.34,-2.6,Resonant
51.67,0.23,17.04,27.25,Resonant
52.77,0.29,5.48,25.97,Resonant
