a,e,i,c,Class
41.30493934,0.02570883,12.7336892,13.785976096268907,b'Classical'
47.54693131,0.29236585,12.68793084,18.797906080546,b'Resonant 2:1'
39.38363198,0.13894426,11.46171308,14.18946653414038,b'Resonant 3:2'
43.1653078,0.07348575,12.41009409,34.73709234987873,b'Classical'
39.37795977,0.11110883,22.35193671,-0.8692799097783911,b'Resonant 3:2'
39.34073092,0.19248706,6.48959422,29.566390638967597,b'Resonant 3:2'
39.38059507,0.10894925,6.71172717,5.927463568409815,b'Resonant 3:2'
43.63454172,0.13622551,5.54182209,27.01372866585408,b'Resonant 7:4'
39.24012169,0.19423887,6.49525962,30.49366550287939,b'Resonant 3:2'
45.32835043,0.13241578,7.11624789,16.58942029375242,b'Classical'
38.76065309,0.07126309,5.40561453,16.95966521346201,b'Classical'
43.76441627,0.07622892,10.35921999,26.695210480142816,b'Classical'
39.30621806,0.13352223,9.53134345,30.802263790077884,b'Resonant 3:2'
42.6538522,0.0799589,28.56716822,0.34350502822852597,b'Classical'
190.33116553,0.79201025,16.79666443,11.59687179841377,b'Detached'
67.83513571,0.43842779,43.99290474,2.3392689108881743,b'Detached'
40.88321562,0.08388938,24.1208265,6.409735544013964,b'Classical'
38.85120184,0.06537406,24.83740424,18.245323059804477,b'Classical'
61.99828326,0.39319967,6.4818817,10.708545746592284,b'Detached'
174.5762186,0.83243949,6.17510434,27.434824535953062,b'Scattering'
111.83979175,0.67009049,14.02968792,17.348969845916617,b'Detached'
41.50990375,0.02250604,19.27181105,17.75014333439199,b'Resonant 23:15'
92.24350389,0.64156956,16.27526236,6.85742800400575,b'Scattering'
75.65851027,0.38936448,26.47961314,17.956269624241706,b'Detached'
42.22670829,0.17477196,9.37736878,27.597098141202775,b'Resonant 5:3'
47.93847797,0.29159009,31.37960944,17.665993205828947,b'Detached'
30.23468425,0.30054513,36.10094024,5.88547245934007,b'Scattering'
57.12094688,0.40809947,6.54070705,9.923793771760952,b'Scattering'
41.52791593,0.13142376,22.2774871,10.692807518259402,b'Classical'
45.78190467,0.03214039,26.54382199,13.227629634671375,b'Classical'
39.40679718,0.24254605,18.797819,24.520014479932005,b'Resonant 3:2'
75.77336337,0.5127867,30.74120505,8.856512326927945,b'Resonant 4:1'
49.27794812,0.24857097,7.16803523,30.6239472679347,b'Resonant candidate 21:10'
40.40860206,0.05845136,27.95428485,3.9519658751976974,b'Classical'
46.76221947,0.29475513,13.84852353,20.111677051328343,b'Scattering'
