number,class,Hr,a,e,inc,c,deltac,class2
1,cla,6.85,43.72,0.05,7.75,22.23,6.16,cla
2,cla,7.17,43.86,0.1,31.67,20.64,9.66,cla
3,cla,6.23,43.89,0.13,7.35,31.62,10.39,cla
4,cla,7.45,42.18,0.05,8.03,31.5,2.5,cla
5,cla,7.28,42.7,0.08,13.19,29.57,9.68,cla
6,cla,7.21,41.31,0.03,12.73,14.2,8.1,cla
7,cla,6.99,41.77,0.02,9.87,20.68,5.84,cla
8,cla,7.68,45.98,0.18,28.68,9.38,10.16,cla
9,cla,7.04,46.91,0.13,8.75,34.4,7.22,cla
10,cla,6,46.87,0.01,23.29,16.71,1.82,cla
11,cla,6.88,41.44,0.21,10.03,5.16,3.29,cla
12,cla,6.1,46.38,0.14,9.82,36.41,5.46,cla
13,cla,8.08,45.3,0.23,15.35,3.16,7.9,cla
14,cla,7.67,38.98,0.15,12.75,9.34,4.75,cla
15,cla,7.26,45.13,0.18,13.69,19.47,6.64,cla
16,cla,7.02,45.26,0.24,22.18,2.65,1.38,cla
17,cla,6.2,43,0.08,7.17,27.53,6.43,cla
18,cla,5.99,44.16,0.11,11.59,36.53,7.18,cla
19,cla,5.89,47.05,0.15,19.27,21.27,8.56,cla
20,cla,6.86,44.25,0.1,9.48,21.43,5.53,cla
21,cla,6.27,41.26,0.08,19.13,26.81,7.47,cla
22,cla,7.49,44.16,0.02,5.63,24.6,5.3,cla
23,cla,5.88,45.19,0.12,10.22,4,0.7,cla
24,cla,7.09,46.45,0.12,10.64,26.5,3.7,cla
25,cla,6.35,43.16,0.12,17.14,20.1,1.55,cla
26,cla,5.41,47.41,0.09,11.92,35.09,1.29,cla
27,cla,7.49,39.76,0.07,8.73,8.7,3.1,cla
28,cla,6.49,46.27,0.12,30.57,-1.25,1.45,cla
29,cla,6.77,44.4,0.03,5.14,24.6,4.1,cla
30,cla,6.8,42.08,0.15,6.91,29.5,2.1,cla
31,cla,7.42,43.23,0.01,5.77,18,5.9,cla
32,cla,6.92,47.26,0.17,6.97,31.3,3.3,cla
